source,title,app_id,developer,genre,content_rating,score,ratings,installs,price,url,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
Google Play,dotdotdot Fantasy AI Boyfriend,com.rheality.dot,Dotdotdot Inc.,Entertainment,Mature 17+,3.79,844,"100,000+",Free,https://play.google.com/store/apps/details?id=com.rheality.dot&hl=en&gl=us,companion,True,https://dotdotdot.chat,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$0.99-$99.99/month USD,EN
Google Play,AI Boyfriend:Love Chat Partner,com.fjsh.alwayssupportiveboyfriend,fjsh,Entertainment,Everyone,3.6,875,"100,000+",Free,https://play.google.com/store/apps/details?id=com.fjsh.alwayssupportiveboyfriend&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Anima: My Virtual AI Boyfriend,ai.boyfriend.virtual.dating.lover.iboy,LABANE CORP. Limited,Entertainment,Mature 17+,3.9825175,13244,"1,000,000+",Free,https://play.google.com/store/apps/details?id=ai.boyfriend.virtual.dating.lover.iboy&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$0.99-$199.99/month USD,EN
Google Play,AIBoy - Virtual AI Boyfriend,aiboy.companion.app,Life Plus Fitness,Entertainment,Mature 17+,4.605769,813,"10,000+",Free,https://play.google.com/store/apps/details?id=aiboy.companion.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$1.99-$29.99/month USD,EN
Google Play,Talkie: Creative AI Community,com.weaver.app.prod,SUBSUP,Entertainment,Teen,4.5411787,743495,"50,000,000+",Free,https://play.google.com/store/apps/details?id=com.weaver.app.prod&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Enhanced memory,$0.49-$199.99/month USD,EN
Google Play,Imate - AI boyfriend who cares,ai.boyfriend.imate.virtual.companion,TDevelopersIndia,Entertainment,Everyone,4.1923075,93,"10,000+",Free,https://play.google.com/store/apps/details?id=ai.boyfriend.imate.virtual.companion&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$1.49-$18.99/month USD,EN
Google Play,AI Boyfriend,ai.boyfriend,6Hive OU,Entertainment,Teen,3.7686567,5218,"100,000+",Free,https://play.google.com/store/apps/details?id=ai.boyfriend&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$2.99-$19.99/month USD,EN
Google Play,AI Boyfriend 18+,com.intimaiforwoman,Controle o Bruxismo e a Ansiedade,Entertainment,Mature 17+,,,"10,000+",Free,https://play.google.com/store/apps/details?id=com.intimaiforwoman&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$5.49-$74.99/month USD,EN
Google Play,Jack - AI Boyfriend,com.thirtythreeapps.jackchatbot,Thirty Three Apps,Communication,Everyone,4.148148,348,"10,000+",Free,https://play.google.com/store/apps/details?id=com.thirtythreeapps.jackchatbot&hl=en&gl=us,companion,True,https://thirtythreeapps.com/,True,"Email/Password, Google, Apple",False,,False,False,Voice features,$3.99-$29.99/month USD,EN
Google Play,PolyBuzz: Chat with AI Friends,ai.socialapps.speakmaster,CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,Entertainment,Mature 17+,3.893384,975292,"10,000,000+",Free,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$0.05-$299.99/month USD,EN
Google Play,AI Boyfriend,caitty.com.aiboyfriend,Caitty,Social,Everyone,0,0,0+,Free,https://play.google.com/store/apps/details?id=caitty.com.aiboyfriend&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$0.99-$59.99/month USD,EN
Google Play,Boyfi - AI Partner & Boyfriend,com.runwayer.ameo,Runwayer Group,Entertainment,Teen,3.960396,1048,"10,000+",Free,https://play.google.com/store/apps/details?id=com.runwayer.ameo&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$4.99-$54.99/month USD,EN
Google Play,MyMate: AI Boyfriend Chat,com.iosappv2.ai_boyfriend_chat,We Agency,Lifestyle,Everyone,,,"1,000+",Free,https://play.google.com/store/apps/details?id=com.iosappv2.ai_boyfriend_chat&hl=en&gl=us,companion,True,http://heylove.app/,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$2.99-$29.99/month USD,EN
Google Play,"Character AI: Chat, Talk, Text",ai.character.app,Character.AI,Entertainment,Teen,2.7261338,2198529,"50,000,000+",Free,https://play.google.com/store/apps/details?id=ai.character.app&hl=en&gl=us,companion,True,https://character.ai/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$0.99-$94.99/month USD,EN
Google Play,Boyfriend Ai,love.boyfriendsimulator.app,WhatsGood,Entertainment,Mature 17+,,,0+,Free,https://play.google.com/store/apps/details?id=love.boyfriendsimulator.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Enhanced memory,$12.99-$19.99/month USD,EN
Google Play,HalFind-My Perfect Boy,com.perfect.boyai,FineTip Apps,Entertainment,Mature 17+,4.597701,5199,"100,000+",Free,https://play.google.com/store/apps/details?id=com.perfect.boyai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$4.49-$104.99/month USD,EN
Google Play,DeepLove AI：Dream AI Love Chat,com.deeplove.ai,Onesoft Technology Limited,Entertainment,Everyone,4.366337,2644,"100,000+",Free,https://play.google.com/store/apps/details?id=com.deeplove.ai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,"Voice features, Enhanced memory",$1.99-$29.99/month USD,EN
Google Play,AI Boyfriend - LuvBae,com.luminalabs.luvbae,Lumina Labs,Entertainment,Everyone,0,0,500+,Free,https://play.google.com/store/apps/details?id=com.luminalabs.luvbae&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,True,False,"Unlimited messaging, Enhanced memory",$2.99-$59.99/month USD,EN
Google Play,AI Girlfriend and Boyfriend,com.ai.gf.bf,Bytes Arena,Photography,Everyone,0,0,"1,000+",Free,https://play.google.com/store/apps/details?id=com.ai.gf.bf&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,True,,,EN
Google Play,Kindroid: Your Personal AI,com.kindroid.app,Kindroid,Entertainment,Mature 17+,4.514159,21460,"1,000,000+",Free,https://play.google.com/store/apps/details?id=com.kindroid.app&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$3.49-$149.99/month USD,EN
Google Play,James: British AI Boyfriend,james.british.ai.boyfriend.virtual.dating.lover.relationship.bf.romance.companion,Jani Infotech,Entertainment,Teen,4.362069,479,"10,000+",Free,https://play.google.com/store/apps/details?id=james.british.ai.boyfriend.virtual.dating.lover.relationship.bf.romance.companion&hl=en&gl=us,companion,True,https://janiinfotechapps.blogspot.com/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,True,,,EN
Google Play,Replika: My AI Friend,ai.replika.app,"Luka, Inc",Health & Fitness,Teen,4.27981,523478,"10,000,000+",Free,https://play.google.com/store/apps/details?id=ai.replika.app&hl=en&gl=us,companion,True,https://replika.ai,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Image generation, Enhanced memory",$0.99-$299.99/month USD,EN
Google Play,Virtual Boyfriend: AI Romance,com.testa.boybot,RoboBot Studio,Entertainment,Everyone,3.94,6811,"500,000+",Free,https://play.google.com/store/apps/details?id=com.testa.boybot&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$0.99-$44.99/month USD,EN
Google Play,Nomi: AI Companion with a Soul,ai.nomi.twa,Nomi.ai,Lifestyle,Teen,4.2285714,4709,"100,000+",Free,https://play.google.com/store/apps/details?id=ai.nomi.twa&hl=en&gl=us,companion,True,https://beta.nomi.ai,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$4.99-$99.99/month USD,EN
Google Play,Éloi: French AI Boyfriend,french.ai.boyfriend.bf.romantic.virtual.dating.lover.relationship.companion,Jani Infotech,Entertainment,Mature 17+,4.6666665,48,"1,000+",Free,https://play.google.com/store/apps/details?id=french.ai.boyfriend.bf.romantic.virtual.dating.lover.relationship.companion&hl=en&gl=us,companion,True,https://janiinfotechapps.blogspot.com/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,True,,,EN
Google Play,Jaxi - AI Boyfriend Chat,com.castlepumpkin.jaxi,castlepumpkin,Entertainment,Teen,4.2941175,307,"10,000+",Free,https://play.google.com/store/apps/details?id=com.castlepumpkin.jaxi&hl=en&gl=us,companion,True,https://castlepumpkin.blogspot.com/,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),True,False,"Unlimited messaging, Enhanced memory",$7.99-$89.99/month USD,EN
Google Play,Husby: AI Partner & AI BF Chat,weappico.husby,Weappico Limited,Entertainment,Mature 17+,4.40566,11263,"100,000+",Free,https://play.google.com/store/apps/details?id=weappico.husby&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$7.49-$99.99/month USD,EN
Google Play,"Linky AI: Chat, Play, Connect",com.aigc.ushow.ichat,Skywork AI Pte. Ltd.,Social,Mature 17+,4.0231466,128484,"10,000,000+",Free,https://play.google.com/store/apps/details?id=com.aigc.ushow.ichat&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Voice features,$0.49-$269.99/month USD,EN
Google Play,Crushie Al: Romance AI Chat,ai.onspace.app,Qianfan Hong Kong Limited,Entertainment,Everyone,4.46789,1147,"100,000+",Free,https://play.google.com/store/apps/details?id=ai.onspace.app&hl=en&gl=us,companion,True,https://www.crushie.ai,True,"Email/Password, Google, Apple",False,,False,False,Enhanced memory,$0.99-$109.99/month USD,EN
Google Play,Boyfriend AI: Find True Love,com.happyapplab.boyfriendai,Happy App Lab,Dating,Everyone,2.7142856,25,"5,000+",Free,https://play.google.com/store/apps/details?id=com.happyapplab.boyfriendai&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$1.99-$6.99/month USD,EN
Google Play,Dokichat - Romantic AI Chats,app.doki.dokichat,Dokichat AI,Entertainment,Everyone,3.7425742,106246,"1,000,000+",Free,https://play.google.com/store/apps/details?id=app.doki.dokichat&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",False,,False,False,Premium features,$0.99-$49.99/month USD,EN
Google Play,LoveyDovey - Dream Chats,ai.tain.reelso,"TainAI, Inc.",Entertainment,Teen,3.41,40306,"1,000,000+",Free,https://play.google.com/store/apps/details?id=ai.tain.reelso&hl=en&gl=us,companion,False,,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,Premium features,$0.99-$74.99/month USD,EN
Google Play,Him - AI Boyfriend Chat,com.doubley.drip,double Y Inc.,Entertainment,Mature 17+,0,0,10+,Free,https://play.google.com/store/apps/details?id=com.doubley.drip&hl=en&gl=us,companion,True,https://himchat.ai,True,"Email/Password, Google, Apple",True,Self-declaration (age confirmation),False,False,"Voice features, Enhanced memory",$0.99-$99.99/month USD,EN
